Tweet Id;Text;Name;UTC;Created At;Favorites;Retweets;Language;Client;Tweet Type;URLs;Hashtags;Mentions;Media Type
1617;Felicidades y éxitos para @felipelarrain quien hoy asume como Ministro de Hacienda de Chile. En los últimos años nos acompañó en Paraguay mejorando la institucionalidad de nuestra política fiscal. https://t.co/v4tBN5gZgX;Santiago Peña;2018-03-11T14:20:12.000Z;Sun Mar 11 14:20:12 +0000 2018;396;61;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;1;photo
1447;Felicitaciones @EmmanuelMacron por tu reelección al frente del Gobierno de Francia, el mayor de los éxitos en esta nueva etapa que más que nunca requiere de integración y compromiso en pos de nuestras naciones. https://t.co/uLPSevxOzW;Santiago Peña;2022-04-24T19:45:14.000Z;Sun Apr 24 19:45:14 +0000 2022;501;49;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;1;photo
584;Felicito a los ecuatorianos por la jornada electoral de hoy. Celebró la elección de @LassoGuillermo a quien conocí en el 2018 durante una charla en la Universidad George Washington. Le deseo éxitos en su gestión y que el Paraguay ???? y Ecuador ???? puedan estrechar más sus vínculos;Santiago Peña;2021-04-12T01:34:43.000Z;Mon Apr 12 01:34:43 +0000 2021;402;43;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;1;None
36;Felicito la decisión del Partido Colorado de manifestarse sobre la situación que está golpeando al sector productivo. Las reivindicaciones sociales justas deben continuar pero nunca en detrimento de productores y trabajadores que necesitan salir de la difícil situación económica. https://t.co/uXuchzJCp4;Santiago Peña;2021-08-06T18:57:22.000Z;Fri Aug 06 18:57:22 +0000 2021;256;68;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;https://twitter.com/AllianaPedro/status/1423713982792224772 ;0;0;None
2240;Felicito y acompaño la posición de los senadores @senador_tony y @sergiogodoyc de no aumentar la deuda en este año 2020. Este año ya se han aumentado de manera importante el déficit fiscal y el presupuesto para el próximo año incluye un monto aún superior. https://t.co/hTxW6SiEzh;Santiago Peña;2020-10-22T19:31:59.000Z;Thu Oct 22 19:31:59 +0000 2020;96;15;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;https://twitter.com/senador_tony/status/1319349278712758274 ;0;2;None
1775;Félix Pérez Cardozo nos recibió con entusiasmo y esperanza. Mi compromiso es trabajar al lado de cada uno de ustedes para que en el Guairá y en el país la gente viva mejor. ???????? https://t.co/ylwCz0XE9l;Santiago Peña;2022-09-25T00:24:34.000Z;Sun Sep 25 00:24:34 +0000 2022;84;4;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
713;Feliz 2018 PARAGUAY ???? Que el año nuevo nos encuentre mas unidos para construir el pais que soñamos #juntoshagamosmas;Santiago Peña;2018-01-01T15:39:10.000Z;Mon Jan 01 15:39:10 +0000 2018;1949;279;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;1;0;None
744;Feliz cumpleaños @Horacio_Cartes Salud y larga vida para seguir construyendo el futuro del país! https://t.co/Q0ZsPeyPbd;Santiago Peña;2021-07-05T18:26:25.000Z;Mon Jul 05 18:26:25 +0000 2021;1765;107;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;1;photo
291;Feliz de compartir con ustedes. Todas estas muestras de cariño y apoyo me impulsan a seguir trabajando con más fuerza. ¡Gracias Luque! ???? https://t.co/xislNxlwKz;Santiago Peña;2022-06-24T00:33:39.000Z;Fri Jun 24 00:33:39 +0000 2022;287;40;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
2100;Feliz de compartir esta gran reunión con jóvenes de Hernandarias. ¡Gracias de corazón! ?? https://t.co/A3qWSjcGeb;Santiago Peña;2022-05-12T01:38:07.000Z;Thu May 12 01:38:07 +0000 2022;164;17;es;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";Tweet;;0;0;photo
